timestamp,use_case,schema_type,test_name,concurrency,run_number,tps,avg_latency_ms
2025-06-24T20:33:19.586395,cms,norm,find_whales,1,1,187.826962,5.324
2025-06-24T20:33:25.695407,cms,denorm,find_whales,1,1,1338.958878,0.747
2025-06-24T20:33:31.669061,cms,norm,profile_load,1,1,2173.642762,0.46
2025-06-24T20:33:37.790602,cms,denorm,profile_load,1,1,2498.938552,0.4
2025-06-24T20:33:43.726997,cms,norm,purchase,1,1,2316.044138,0.432
2025-06-24T20:33:49.839435,cms,denorm,purchase,1,1,2185.403168,0.458
2025-06-24T20:33:55.794163,cms,norm,return,1,1,2589.738166,0.386
2025-06-24T20:34:01.891572,cms,denorm,return,1,1,2201.916465,0.454
2025-06-24T20:34:07.797955,cms,norm,find_whales,1,2,180.501354,5.54
2025-06-24T20:34:14.058504,cms,denorm,find_whales,1,2,1377.078313,0.726
2025-06-24T20:34:19.982020,cms,norm,profile_load,1,2,2211.571967,0.452
2025-06-24T20:34:26.139381,cms,denorm,profile_load,1,2,2426.286775,0.412
2025-06-24T20:34:32.030898,cms,norm,purchase,1,2,2531.9065,0.395
2025-06-24T20:34:38.137456,cms,denorm,purchase,1,2,1789.516638,0.559
2025-06-24T20:34:44.073112,cms,norm,return,1,2,2457.357112,0.407
2025-06-24T20:34:50.230418,cms,denorm,return,1,2,2138.324525,0.468
2025-06-24T20:34:56.122329,cms,norm,find_whales,1,3,191.239912,5.229
2025-06-24T20:35:02.299773,cms,denorm,find_whales,1,3,1373.574507,0.728
2025-06-24T20:35:08.209554,cms,norm,profile_load,1,3,2197.23449,0.455
2025-06-24T20:35:14.553751,cms,denorm,profile_load,1,3,2542.220311,0.393
2025-06-24T20:35:20.459169,cms,norm,purchase,1,3,2364.714735,0.423
2025-06-24T20:35:26.580050,cms,denorm,purchase,1,3,1854.894523,0.539
2025-06-24T20:35:32.493184,cms,norm,return,1,3,2436.708948,0.41
2025-06-24T20:35:38.605097,cms,denorm,return,1,3,2202.090035,0.454
2025-06-24T20:35:48.210016,cms,norm,find_whales,2,1,363.494457,5.502
2025-06-24T20:35:54.361382,cms,denorm,find_whales,2,1,2501.355599,0.8
2025-06-24T20:36:00.338364,cms,norm,profile_load,2,1,3640.010289,0.549
2025-06-24T20:36:06.421604,cms,denorm,profile_load,2,1,4000.082084,0.5
2025-06-24T20:36:12.334430,cms,norm,purchase,2,1,3534.47085,0.566
2025-06-24T20:36:18.488811,cms,denorm,purchase,2,1,3354.839162,0.596
2025-06-24T20:36:24.421040,cms,norm,return,2,1,3877.569572,0.516
2025-06-24T20:36:30.558516,cms,denorm,return,2,1,3602.989836,0.555
2025-06-24T20:36:36.474620,cms,norm,find_whales,4,1,377.911274,10.584
2025-06-24T20:36:42.729941,cms,denorm,find_whales,4,1,4439.263397,0.901
2025-06-24T20:36:48.634147,cms,norm,profile_load,4,1,5743.033614,0.696
2025-06-24T20:36:54.784172,cms,denorm,profile_load,4,1,6072.048092,0.659
2025-06-24T20:37:00.721233,cms,norm,purchase,4,1,4704.529685,0.85
2025-06-24T20:37:06.847534,cms,denorm,purchase,4,1,4498.207557,0.889
2025-06-24T20:37:12.758984,cms,norm,return,4,1,5438.471949,0.736
2025-06-24T20:37:18.867270,cms,denorm,return,4,1,5042.871042,0.793
2025-06-24T20:37:24.840971,cms,norm,find_whales,8,1,272.171143,29.393
2025-06-24T20:37:30.986671,cms,denorm,find_whales,8,1,4288.266706,1.866
2025-06-24T20:37:36.890476,cms,norm,profile_load,8,1,8448.037251,0.947
2025-06-24T20:37:43.158671,cms,denorm,profile_load,8,1,8913.344565,0.898
2025-06-24T20:37:49.104396,cms,norm,purchase,8,1,6559.629737,1.22
2025-06-24T20:37:55.235459,cms,denorm,purchase,8,1,6051.891915,1.322
2025-06-24T20:38:01.121042,cms,norm,return,8,1,7624.836115,1.049
2025-06-24T20:38:07.259075,cms,denorm,return,8,1,7229.226038,1.107
2025-06-24T20:38:13.194601,cms,norm,find_whales,16,1,251.468182,63.626
2025-06-24T20:38:19.310494,cms,denorm,find_whales,16,1,3877.060046,4.127
2025-06-24T20:38:25.257920,cms,norm,profile_load,16,1,8413.604305,1.902
2025-06-24T20:38:31.398026,cms,denorm,profile_load,16,1,10898.374719,1.468
2025-06-24T20:38:37.349184,cms,norm,purchase,16,1,8614.450662,1.857
2025-06-24T20:38:43.655191,cms,denorm,purchase,16,1,7074.833399,2.262
2025-06-24T20:38:49.574613,cms,norm,return,16,1,9369.007197,1.708
2025-06-24T20:38:55.698964,cms,denorm,return,16,1,7646.486097,2.092
2025-06-24T20:39:01.669774,cms,norm,find_whales,32,1,246.095774,130.031
2025-06-24T20:39:07.791677,cms,denorm,find_whales,32,1,3488.718183,9.172
2025-06-24T20:39:13.729449,cms,norm,profile_load,32,1,8995.862849,3.557
2025-06-24T20:39:19.825148,cms,denorm,profile_load,32,1,12122.543527,2.64
2025-06-24T20:39:25.712101,cms,norm,purchase,32,1,8541.818791,3.746
2025-06-24T20:39:31.845984,cms,denorm,purchase,32,1,6737.892423,4.749
2025-06-24T20:39:37.755272,cms,norm,return,32,1,10056.109784,3.182
2025-06-24T20:39:44.054226,cms,denorm,return,32,1,7085.119018,4.517
2025-06-24T20:39:50.112083,cms,norm,find_whales,64,1,243.815093,262.494
2025-06-24T20:39:56.324839,cms,denorm,find_whales,64,1,3633.785903,17.612
2025-06-24T20:40:02.289613,cms,norm,profile_load,64,1,9570.281612,6.687
2025-06-24T20:40:08.414870,cms,denorm,profile_load,64,1,12978.935068,4.931
2025-06-24T20:40:14.323506,cms,norm,purchase,64,1,8486.970885,7.541
2025-06-24T20:40:20.516955,cms,denorm,purchase,64,1,6673.732199,9.59
2025-06-24T20:40:26.469932,cms,norm,return,64,1,10381.637402,6.165
